ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
cpu, read_reqs, , Accumulator, 4993093128, 0, 1000000, 1000000, 1000000, 1, 1
cpu, write_reqs, , Accumulator, 4993093128, 0, 500000, 500000, 500000, 1, 1
cpu, custom_reqs, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
cpu, split_read_reqs, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
cpu, split_write_reqs, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
cpu, split_custom_reqs, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
cpu, cycles_with_issue, , Accumulator, 4993093128, 0, 999997, 999997, 999997, 1, 1
cpu, cycles_no_issue, , Accumulator, 4993093128, 0, 12279505, 12279505, 12279505, 1, 1
cpu, total_bytes_read, , Accumulator, 4993093128, 0, 32000000, 1024000000, 1000000, 32, 32
cpu, total_bytes_write, , Accumulator, 4993093128, 0, 16000000, 512000000, 500000, 32, 32
cpu, total_bytes_custom, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
cpu, req_latency, , Accumulator, 4993093128, 0, 119462422, 10262735692, 1500000, 2, 129
cpu, time, , Accumulator, 4993093128, 0, 4993093, 24930977706649, 1, 4993093, 4993093
cpu, cycles_hit_fence, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
cpu, cycles_max_issue, , Accumulator, 4993093128, 0, 6, 6, 6, 1, 1
cpu, cycles_max_reorder, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
cpu, cycles, , Accumulator, 4993093128, 0, 13279503, 13279503, 13279503, 1, 1
l1cache, prefetch_opportunities, , Accumulator, 4993093128, 0, 1500000, 1500000, 1500000, 1, 1
l1cache, prefetches_issued, , Accumulator, 4993093128, 0, 1138443, 1138443, 1138443, 1, 1
l1cache, prefetches_canceled_by_page_boundary, , Accumulator, 4993093128, 0, 46872, 46872, 46872, 1, 1
l1cache, prefetches_canceled_by_history, , Accumulator, 4993093128, 0, 361557, 361557, 361557, 1, 1
l1cache, Prefetch_requests, , Accumulator, 4993093128, 0, 1138443, 1138443, 1138443, 1, 1
l1cache, Prefetch_drops, , Accumulator, 4993093128, 0, 1, 1, 1, 1, 1
l1cache, default_stat, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetS_I, , Accumulator, 4993093128, 0, 621101, 621101, 621101, 1, 1
l1cache, stateEvent_GetS_S, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetS_M, , Accumulator, 4993093128, 0, 259796, 259796, 259796, 1, 1
l1cache, stateEvent_GetX_I, , Accumulator, 4993093128, 0, 128905, 128905, 128905, 1, 1
l1cache, stateEvent_GetX_S, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetX_M, , Accumulator, 4993093128, 0, 250000, 250000, 250000, 1, 1
l1cache, stateEvent_GetSX_I, , Accumulator, 4993093128, 0, 0, 0, 0, 0, 0
